;Definition;Type;Example;synonyms
surrender;"If you surrender, you stop fighting or resisting someone and agree that you have been beaten.
";verb; He called on the rebels to surrender.;give up,abandon,relinquish,resign,
neighbouring;" Neighbouring places or things are near other things of the same kind.
";adjective; Rwanda is to hold talks with leaders of neighbouring countries next week.;nearby,next,near,
gamble;"A gamble is a risky action or decision that you take in the hope of gaining money, success, or an advantage over other people.
";countable noun; Yesterday, he named his cabinet and took a big gamble in the process.;risk,chance,venture,lottery,back,speculate,bet,play,game,stake,
excel;"If someone excels in something or excels at it, they are very good at doing it.
";verb; Caine has always been an actor who excels in irony.;better,pass,eclipse,
surpassing;" exceptional; extraordinary";adjective;As it came across Raven's bow, its pi-lot threw the plane into a hard turn north, probably surpassing nine g's.;
debit;"When your bank debits your account, money is taken from it and paid to someone else.
";verb;" We will always confirm the revised amount to you in writing before debiting your
account.";debt,payment,commitment,
invoice;"An invoice is a document that lists goods that have been supplied or services that have been done, and says how much money you owe for them.
";countable noun; We will then send you an invoice for the total course fees.;account,charge,bill,statement,charge,bill,record,figure,
banknote;"Banknotes are pieces of paper money.
";countable noun;There will be no actual printing of banknotes.;
advertise;"If you advertise something such as a product, an event, or a job, you tell people about it online, in newspapers, on television, or on posters in order to encourage them to buy the product, go to the event, or apply for the job.
";verb; The players can advertise baked beans, but not rugby boots.;publicize,promote,announce,
consolidate;"If you consolidate something that you have, for example power or success, you strengthen it so that it becomes more effective or secure.
";verb; The question is: will the junta consolidate its power by force?;reinforcement,fortification,combine,unite,join,marry,reinforcement,fortification,combination,union,association,alliance,
oblige;;;;
obliged;;;;
forced;;;;
committed;"having a strong commitment to an ideology, religion, etc
";adjective;In a committed relationship this isn't an issue.;
fixed;"You use fixed to describe something which stays the same and does not or cannot vary.
";adjective; They issue a fixed number of shares that trade publicly.;inflexible,set,steady,resolute,false,fake,feigned,insincere,
attached;"If you are  attached to someone or something, you like them very much.
";adjective; She is very attached to her family and friends.;
fated;"If you say that a person is fated to do something, or that something is fated, you mean that it seems to have been decided by fate before it happens, and nothing can be done to avoid or change it.
";adjective; He was fated not to score.;destined,doomed,predestined,preordained,
doomed;"If something is doomed to happen, or if you are doomed to a particular state, something unpleasant is certain to happen, and you can do nothing to prevent it.
";adjective; Their plans seemed doomed to failure.;hopeless,ill-fated,fated,
trim;"Something that is trim is neat, tidy, and attractive.
";adjective; The neighbours' gardens were trim and neat.;neat,nice,smart,compact,slender,fit,slim,sleek,cut,crop,clip,dock,reduce,decrease,decorate,dress,array,adorn,decoration,edging,border,
fuse;"A fuse is a safety device in an electric plug or circuit. It contains a piece of wire which
melts when there is a fault so that the flow of electricity stops.
";countable noun; The fuse blew as he pressed the button to start the motor.;join,unite,combine,blend,
nuisance;"If you say that someone or something is a nuisance, you mean that they annoy you or cause you a lot of problems.
";countable noun; He could be a bit of a nuisance when he was drunk.;
inconvenience;"If someone or something causes inconvenience, they cause problems or difficulties.
";variable noun; We apologize for any inconvenience caused during the repairs.;trouble,difficulty,bother,upset,trouble,bother,disturb,upset,
confinement;"Confinement is the state of being forced to stay in a prison or another place which you cannot leave.
";uncountable noun; She had been held in solitary confinement for four months.;imprisonment,custody,detention,
ancestry;"Your ancestry is the fact that you are descended from certain people.
";countable noun; ...a family who could trace their ancestry back to the sixteenth century.;origin,house,family,line,
scrap;"A scrap of something is a very small piece or amount of it.
";countable noun; A crumpled scrap of paper was found in her handbag.;piece,fragment,bit,trace,fight,battle,row,argument,
nip;"If you nip somewhere, usually somewhere nearby, you go there quickly or for a short time.
";verb; Should I nip out and get some groceries?;pop,go,run,rush,pinch,catch,grip,squeeze,dram,drop,taste,
nibble;"If you nibble food, you eat it by biting very small pieces of it, for example because you are not very hungry.
";verb; He started to nibble his biscuit.;bite,eat,peck,snack,bite,taste,peck,
peck;"If a bird pecks at something or pecks something, it moves its beak forward quickly and bites at it.
";verb; It was winter and the sparrows were pecking at whatever they could find.;kiss,
munch;"If you munch food, you eat it by chewing it slowly, thoroughly, and rather noisily.
";verb; Luke munched the chicken sandwiches.;chew,crunch,
sting;"If a plant, animal, or insect stings you, a sharp part of it, usually covered with poison, is pushed into your skin so that you feel a sharp pain.
";verb; The nettles stung their legs.;hurt,burn,wound,nip,prick,injury,wound,puncture,pain,smart,burn,pain,hurt,anger,provoke,infuriate,incense,fraud,swindle,cheat,trickery,
prick;"If you prick something or prick holes in it, you make small holes in it with a sharp object such as a pin.
";verb; Prick the potatoes and rub the skins with salt.;pierce,stab,puncture,bore,move,trouble,touch,pain,pang,smart,sting,spasm,
take effect;"You can say that something takes effect when it starts to produce the results that are intended.
";phrase; The second injection should only have been given once the first drug had taken effect.;work,begin,
chill;"When you chill something or when it chills, you lower its temperature so that it becomes colder but does not freeze.
";verb; Chill the fruit salad until serving time.;cool,refrigerate,freeze,dishearten,depress,discourage,dismay,shiver,
devastating;"If you describe something as devastating, you are emphasizing that it is very harmful or damaging.
";adjective; The city took the full force of the devastating floods.;destructive,catastrophic,harmful,traumatic,shocking,disturbing,
tragic;"A tragic event or situation is extremely sad, usually because it involves death or suffering.
";adjective; It was just a tragic accident.;distressing,shocking,sad,awful,
gloomy;"If a place is gloomy, it is almost dark so that you cannot see very well.
";adjective; Inside it's gloomy after all that sunshine.;dark,dull,dim,dismal,depressing,bad,dismal,dreary,
depressing;"Something that is depressing makes you feel sad and disappointed.
";adjective; Yesterday's unemployment figures were depressing.;bleak,black,sad,distressing,
bruise;"A bruise is an injury which appears as a purple mark on your body, although the skin is not broken.
";countable noun; How did you get that bruise on your cheek?;discoloration,mark,injury,hurt,injure,mark,blacken,damage,mark,mar,blemish,injure,hurt,pain,wound,hard,tough,violent,rough,
indict;"If someone is indicted for a crime, they are officially charged with it.
";verb; He was later indicted on corruption charges.;charge,accuse,prosecute,summon,
covering;"A covering is a layer of something that protects or hides something else.
";countable noun; Leave a thin covering of fat.;cover,protection,coating,overlay,
madly;"You can use madly to indicate that one person loves another a great deal.
";adverb; She has fallen madly in love with him.;
prejudiced;"A person who is prejudiced against someone has an unreasonable dislike of them. A person who is prejudiced in favour of someone has an unreasonable preference for them.
";adjective; I like to think I'm not prejudiced.;biased,unfair,one-sided,
wholesale;"Wholesale is the activity of buying and selling goods in large quantities and therefore at cheaper prices, usually to shopkeepers who then sell them to the public. Compare retail.
";uncountable noun; Warehouse clubs allow members to buy goods at wholesale prices.;
implicit;"Something that is implicit is expressed in an indirect way.
";adjective; This is seen as an implicit warning not to continue with military action.;implied,understood,absolute,full,complete,total,absolutely,utterly,
obstruct;"If something obstructs a road or path, it blocks it, stopping people or vehicles getting past.
";verb; Tractors and container lorries have completely obstructed the road.;impede,prevent,frustrate,obscure,screen,cover,
obscure;"If something or someone is obscure, they are unknown, or are known by only a few people.
";adjective; The origin of the custom is obscure.;unknown,minor,humble,abstruse,involved,complex,confusing,hide,screen,mask,confuse,cloud,blur,
interrupt;"If you interrupt someone who is speaking, you say or do something that causes them to stop.
";verb; Turkin tapped him on the shoulder. 'Sorry to interrupt, Colonel.'.;disruption,break,halt,obstacle,suspend,break,stop,end,stoppage,stop,pause,suspension,
batch;"A batch of things or people is a group of things or people of the same kind, especially a group that is dealt with at the same time or is sent to a particular place at the same time.
";countable noun; ...the current batch of trainee priests.;group,set,lot,crowd,
descent;"A descent is a movement from a higher to a lower level or position.
";variable noun; During their descent from the summit, a storm swept in.;fall,drop,plunge,slope,drop,dip,incline,decline,degradation,decadence,origin,extraction,ancestry,lineage,
gust;"A gust is a short, strong, sudden rush of wind.
";countable noun; A gust of wind drove down the valley.;blast,blow,rush,breeze,blow,blast,puff,squall,
puff;"If someone puffs at a cigarette, cigar, or pipe, they smoke it.
";verb; He lit a cigar and puffed at it twice.;smoke,draw,suck,pant,exhale,blow,
exhale;"When you exhale, you breathe out the air that is in your lungs.
";verb; Hold your breath for a moment and exhale.;breathe,expel,emission,fume,exhaust,smoke,breath,expiration,
expel;"If someone is expelled from a school or organization, they are officially told to leave because they have behaved badly.
";verb; More than five-thousand secondary school students have been expelled for cheating.;exclude,ban,bar,banish,exile,oust,deport,discharge,
emit;"If something emits heat, light, gas, or a smell, it produces it and sends it out by means of a physical or chemical process.
";verb; The new device emits a powerful circular column of light.;utter,produce,voice,
squander;"If you squander money, resources, or opportunities, you waste them.
";verb; Hooker didn't squander his money on flashy cars or other vices.;waste,spend,
spoil;"If you spoil something, you prevent it from being successful or satisfactory.
";verb; It's important not to let mistakes spoil your life.;ruin,destroy,wreck,damage,overindulge,indulge,pamper,baby,indulge,treat,pamper,satisfy,
botch;"If you botch something that you are doing, you do it badly or clumsily.
";verb; It is a silly idea and he has botched it.;spoil,mar,bungle,fumble,mess,failure,blunder,miscarriage,
burst;"If something bursts or if you burst it, it suddenly breaks open or splits open and the air or other substance inside it comes out.
";verb; The driver lost control when a tyre burst.;explode,break,split,rush,run,break,pour,barge,charge,rush,tear,explode,go off,blow up,detonate,explosion,crack,blast,
puncture;"A puncture is a small hole in a car tyre or bicycle tyre that has been made by a sharp object.
";countable noun; Somebody helped me mend the puncture.;flat,hole,opening,break,cut,deflate,
setback;"A setback is an event that delays your progress or reverses some of the progress that you have made.
";countable noun; The move represents a setback for the peace process.;hold-up,check,defeat,blow,
depressed;"If you are depressed, you are sad and feel that you cannot enjoy anything, because your situation is so difficult and unpleasant.
";adjective; He seemed somewhat depressed.;sad,down,low,blue,poverty-stricken,poor,deprived,distressed,sunken,hollow,
unhappy;"If you are unhappy, you are sad and depressed.
";adjective; Her marriage is in trouble and she is desperately unhappy.;sad,depressed,miserable,down,depression,misery,gloom,discontented,disgruntled,disappointed,discontent,dissatisfaction,displeasure,inappropriate,awkward,clumsy,unsuitable,
smutty;"If you describe something such as a joke, book, or film as smutty, you disapprove of it because it shows naked people or refers to sex in a rude or unpleasant way.
";adjective; ...smutty jokes.;obscene,dirty,crude,coarse,
obscene;"If you describe something as obscene, you mean it offends you because it relates to sex or violence in a way that you think is unpleasant and shocking.
";adjective; I'm not prudish but I think these photographs are obscene.;indecent,dirty,offensive,gross,offensive,shocking,evil,disgusting,
noticeboard;"A noticeboard is a board which is usually attached to a wall in order to display notices giving information about something.
";countable noun; She added her name to the list on the noticeboard.;
plank;"A plank is a long, flat, rectangular piece of wood.
";countable noun; It was very strong, made of three solid planks of wood.;board,beam,timber,
timber;"Timber is wood that is used for building houses and making furniture. You can also refer to trees that are grown for this purpose as timber.
";uncountable noun; These Severn Valley woods have been exploited for timber since Saxon times.;wood,
congress;"A congress is a large meeting that is held to discuss ideas and policies.
";countable noun; A lot has changed after the party congress.;meeting,council,conference,diet,
get on;"If you  get on with someone, you like them and have a friendly relationship with them.
";phrasal verb; The host fears the guests won't get on.;
embark;"If you embark on something new, difficult, or exciting, you start doing it.
";verb; He's embarking on a new career as a writer.;
physique;"Someone's physique is the shape and size of their body.
";countable noun; He has the physique and energy of a man half his age.;build,form,body,figure,
torso;"Your torso is the main part of your body, and does not include your head, arms, and legs.
";countable noun;On the professor's desk at the front of the room was the upper torso and head of a man.;body,trunk,
expanse;"An expanse of something, usually sea, sky, or land, is a very large amount of it.
";countable noun; ...a vast expanse of grassland.;area,range,field,space,
consistency;"Consistency is the quality or condition of being consistent.
";uncountable noun; He scores goals with remarkable consistency.;agreement,harmony,correspondence,accordance,texture,density,thickness,
texture;"The texture of something is the way that it feels when you touch it, for example how smooth or rough it is.
";variable noun; Aloe Vera is used in moisturisers to give them a wonderfully silky texture.;feel,quality,character,consistency,
density;"Density is the extent to which something is filled or covered with people or things.
";variable noun; ...a law which restricts the density of housing.;thickness,mass,body,bulk,consistency,
explosive;"An explosive is a substance or device that can cause an explosion.
";variable noun; ...one-hundred-and-fifty pounds of Semtex explosive.;bomb,mine,shell,missile,unstable,dangerous,volatile,hazardous,fiery,violent,volatile,stormy,
reserve;"If something is reserved for a particular person or purpose, it is kept specially for that person or purpose.
";verb; A double room with a balcony overlooking the sea had been reserved for him.;book,
punt;"A punt is a long boat with a flat bottom. You move the boat along by standing at one end and pushing a long pole against the bottom of the river.
";countable noun; We punted up towards Grantchester and had a picnic in a meadow.;bet,back,stake,gamble,
frontier;"A frontier is a border between two countries.
";countable noun; It wasn't difficult then to cross the frontier.;border,limit,edge,bound,
adjoin;"If one room, place, or object adjoins another, they are next to each other.
";verb; Fields adjoined the garden and there were no neighbours.;join,
skirt;"A skirt is a piece of clothing that fastens at the waist and hangs down around the legs.
";countable noun; We raced across a large field that skirted the slope of a hill.;border,edge,margin,fringe,border,edge,line,bypass,circumvent,
bound;"Bound is the past tense and past participle of bind.
";phrase; There are bound to be price increases next year.;surround,confine,enclose,terminate,limit,fix,define,restrict,leap,bob,spring,jump,leap,bob,spring,jump,
decorate;"If you decorate something, you make it more attractive by adding things to it.
";verb; He decorated his room with pictures of all his favorite sports figures.;paper,paint,ornament,garnish,frill,adornment,trimming,enhancement,
pester;"If you say that someone is pestering you, you mean that they keep asking you to do something, or keep talking to you, and you find this annoying.
";verb; I thought she'd stop pestering me, but it only seemed to make her worse.;annoy,worry,bother,disturb,
plague;"A plague is a very infectious disease that spreads quickly and kills large numbers of people.
";countable noun; A cholera plague had been killing many prisoners of war at the time.;disease,infection,epidemic,contagion,invasion,epidemic,influx,bane,trial,cancer,evil,torment,trouble,pain,torture,pester,trouble,bother,disturb,
irritate;"If something irritates you, it keeps annoying you.
";verb; Their attitude irritates me.;annoy,anger,bother,provoke,annoyed,cross,angry,
flask;"A flask is a bottle which you use for carrying drinks around with you.
";countable noun; He took out a metal flask from a canvas bag.;vessel,bottle,container,
pitcher;"A pitcher is a jug.
";countable noun; ...a pitcher of iced water.;jug,jar,vessel,
carafe;"A carafe is a glass container in which you serve water or wine.
";countable noun; He ordered a carafe of water.;jug,pitcher,flask,
daring;"People who are daring are willing to do or say things which are new or which might shock or anger other people.
";adjective; Bergit was probably more daring than I was.;bravery,courage,
march;"When soldiers march somewhere, or when a commanding officer marches them somewhere, they walk there with very regular steps, as a group.
";verb; A Scottish battalion was marching down the street.;parade,walk,file,pace,
bounds;"a limit; boundary (esp in the phrase  know no bounds)
";plural noun;Within these bounds, the novice is free to structure his own education.;
threshold;"The threshold of a building or room is the floor in the doorway, or the doorway itself.
";countable noun; He stopped at the threshold of the bedroom.;entrance,door,limit,margin,starting point,minimum,
basin;"A basin is a large or deep bowl that you use for holding liquids, or for mixing or storing food.
";countable noun; Place the eggs and sugar in a large basin.;bowl,dish,vessel,container,sink,valley,hollow,gorge,ravine,bed,depression,trough,
hurl;"If you hurl something, you throw it violently and with a lot of force.
";verb; Groups of angry youths hurled stones at police.;throw,fling,send,
stadium;"A stadium is a large sports ground with rows of seats all round it.
";countable noun; ...a baseball stadium.;arena,stand,ground,field,
trunk;"The trunk of a tree is the large main stem from which the branches grow.
";countable noun; ...the gnarled trunk of a birch tree.;stem,stock,stalk,
spar;"If you spar with someone, you box using fairly gentle blows instead of hitting your opponent hard, either when you are training or when you want to test how quickly your opponent reacts.
";verb; With protective gear on you can spar with a partner.;
lad;"A lad is a young man or boy.
";countable noun; When I was a lad his age I would laugh at the strangest things.;
sweetheart;"You call someone sweetheart if you are very fond of them.
";countable noun; Happy birthday, sweetheart.;dearest,beloved,sweet,love,beloved,lover,
trademark;"A trademark is a name or symbol that a company uses on its products and that cannot legally be used by another company.
";countable noun; ...the spiky punk hairdo that became his trademark.;characteristic,trait,speciality,hallmark,
logo;"The logo of a company or organization is the special design or way of writing its name that it puts on all its products, notepaper, or advertisements.
";countable noun; logogram;trademark,figure,design,device,
marque;"A marque is the name of a famous company that makes motor vehicles, or the vehicles it produces.
";countable noun; ...a marque long-associated with motor racing success, Alfa Romeo.;brand,
stigmatize;"If someone or something is stigmatized, they are unfairly regarded by many people as being bad or having something to be ashamed of.
";verb; Children in single-parent families must not be stigmatised.;brand,label,denounce,mark,
stamp;"A stamp or a postage stamp is a small piece of paper which you stick on an envelope or package before you post it to pay for the cost of the postage.
";countable noun; ...a book of stamps.;imprint,mark,brand,cast,print,mark,fix,impress,stump,clump,tramp,trample,step,tread,crush,mark,indication,hallmark,badge,identify,mark,brand,label,
shatter;"If something shatters or is shattered, it breaks into a lot of small pieces.
";verb; ...safety glass that won't shatter if it's broken.;smash,break,burst,split,destroy,ruin,wreck,blast,shock,stun,crush,
fracture;"A fracture is a slight crack or break in something, especially a bone.
";countable noun; At least one-third of all women over ninety have sustained a hip fracture.;break,split,crack,rupture,split,separate,divide,
break down;"If a machine or a vehicle breaks down, it stops working.
";phrasal verb; Their car broke down.;
go wrong;"If a situation  goes wrong, it stops progressing in the way that you expected or intended, and becomes much worse.
";phrase; It all went horribly wrong.;fail,fall through,
disobey;"When someone disobeys a person or an order, they deliberately do not do what they have been told to do.
";verb; ...a naughty boy who often disobeyed his mother and father.;defy,ignore,rebel,resist,
breach;"If you breach an agreement, a law, or a promise, you break it.
";verb; The newspaper breached the code of conduct on privacy.;break,violate,flout,abuse,violation,infringement,split,rupture,
defy;"If you defy someone or something that is trying to make you behave in a particular way, you refuse to obey them and behave in that way.
";verb; This was the first (and last) time that I dared to defy my mother.;resist,oppose,confront,face,
weaken;"If you weaken something or if it weakens, it becomes less strong or less powerful.
";verb; The recession has weakened so many firms that many can no longer survive.;wane,fail,diminish,dwindle,tire,exhaust,debilitate,
undermine;"If you undermine something such as a feeling or a system, you make it less strong or less secure than it was before, often by a gradual process or by repeated efforts.
";verb; Offering advice on each and every problem will undermine her feeling of being adult.;weaken,sabotage,subvert,compromise,
tame;"A tame animal or bird is one that is not afraid of humans.
";adjective;" The deer never became tame; they would run away if you approached them.";boring,dull,bland,domesticate,train,gentle,subdue,suppress,master,discipline,
suspend;"If you suspend something, you delay it or stop it from happening for a while or until a decision is made about it.
";verb; The union suspended strike action this week.;postpone,delay,arrest,remove,expel,eject,debar,hang,attach,dangle,swing,
lash;"Your lashes are the hairs that grow on the edge of your upper and lower eyelids.
";countable noun; Secure the anchor by lashing it to the rail.;fasten,join,tie,secure,pound,beat,strike,hammer,censure,attack,blast,blow,hit,strike,stroke,whip,beat,thrash,
decode;"If you decode a message that has been written or spoken in a code, you change it into ordinary language.
";verb; All he had to do was decode it and pass it over.;decipher,crack,solve,understand,explain,interpret,
hesitate;"If you hesitate, you do not speak or act for a short time, usually because you are uncertain, embarrassed, or worried about what you are going to say or do.
";verb; The phone rang. Catherine hesitated, debating whether to answer it.;waver,delay,pause,delay,uncertainty,reluctance,ambivalence,
tremble;"If you tremble, you shake slightly because you are frightened or cold.
";verb; His mouth became dry, his eyes widened, and he began to tremble all over.;vibrate,rock,shake,quake,
falter;"If something falters, it loses power or strength in an uneven way, or no longer makes much progress.
";verb; Normal life is at a standstill, and the economy is faltering.;hesitate,delay,waver,vacillate,stutter,pause,stumble,hesitate,
inhalation;"Inhalation is the process or act of breathing in, taking air and sometimes other substances into your lungs.
";variable noun; ...a complete cycle of inhalation and exhalation.;breath,inspiration,
gasp;"A gasp is a short quick breath of air that you take in through your mouth, especially when you are surprised, shocked, or in pain.
";countable noun; An audible gasp went round the court as the jury announced the verdict.;pant,puff,gulp,pant,blow,puff,choke,
hint;"A hint is a suggestion about something that is made in an indirect way.
";countable noun;" The Minister gave a strong hint that the government were thinking of introducing
tax concessions for mothers.";suggest,mention,indicate,imply,advice,help,trace,touch,suggestion,taste,
instil;"If you instil an idea or feeling in someone, especially over a period of time, you make them think it or feel it.
";verb; They hope that their work will instil a sense of responsibility in children.;introduce,implant,engender,infuse,
inject;"To inject someone with a substance such as a medicine means to put it into their body using a device with a needle called a syringe.
";verb; His son was injected with strong drugs.;vaccinate,administer,introduce,insert,instil,invest,advance,sink,
span;"A span is the period of time between two dates or events during which something exists, functions, or happens.
";countable noun; The batteries had a life span of six hours.;period,term,duration,course,cover,encompass,last,cross,bridge,cover,
aqueduct;"An aqueduct is a long bridge with many arches, which carries a water supply or a canal over a valley.
";countable noun; ...an old Roman aqueduct.;conduit,channel,passage,canal,
reconcile;"If you reconcile two beliefs, facts, or demands that seem to be opposed or completely different, you find a way in which they can both be true or both be successful.
";verb; It's difficult to reconcile the demands of my job and the desire to be a good father.;resolve,settle,square,adjust,pacify,propitiate,
concise;"Something that is concise says everything that is necessary without using any unnecessary words.
";adjective; Burton's text is concise and informative.;brief,short,to the point,compact,
to the point;"Something that is to the point is relevant to the subject that you are discussing, or expressed neatly without wasting words or time.
";phrase; Mr. Baker was smiling and to the point.;relevant,appropriate,apt,pointed,
in brief;"If you refer to something in brief, you are referring to a shortened version of it with few details.
";phrase; ...and now sport in brief.;briefly,in short,briefly,in a word,
vivid;"If you describe memories and descriptions as vivid, you mean that they are very clear and detailed.
";adjective;" People of my generation who lived through World War II have vivid memories of confusion
and incompetence.";clear,detailed,realistic,telling,brightness,brilliance,intensity,glow,clarity,realism,intensity,bright,brilliant,intense,clear,
intellect;"Intellect is the ability to understand or deal with ideas and information.
";variable noun; Do the emotions develop in parallel with the intellect?;intelligence,mind,reason,understanding,thinker,intellectual,genius,mind,
brilliance;"great brightness; radiance";noun;He said:'It was a bit of individual brilliance for his goal.;
sparkle;"If something sparkles, it is clear and bright and shines with a lot of very small points of light.
";verb; The jewels on her fingers sparkled.;glitter,flash,spark,shine,glitter,flash,gleam,spark,glittering,bright,vibrant,lively,animated,vivacious,
glare;"If you glare at someone, you look at them with an angry expression on your face.
";verb; The old woman glared at him.;scowl,frown,glower,scowl,frown,glower,dazzle,glow,blaze,flare,
intelligent;"A person or animal that is intelligent has the ability to think, understand, and learn things quickly and well.
";adjective; Susan's a very bright and intelligent woman who knows her own mind.;clever,bright,smart,knowing,rational,thinking,
clever;"Someone who is clever is intelligent and able to understand things easily or plan things well.
";adjective; He's a very clever man.;intelligence,sense,wit,canniness,dexterity,ability,talent,gift,
knowing;"A knowing gesture or remark is one that shows that you understand something, for example the way that someone is feeling or what they really mean, even though it has not been mentioned directly.
";adjective; Ron gave her a knowing smile.;meaningful,significant,expressive,eloquent,
sensible;"Sensible actions or decisions are good because they are based on reasons rather than emotions.
";adjective; It might be sensible to get a solicitor.;wise,practical,prudent,shrewd,intelligent,practical,reasonable,rational,
cheerful;"Someone who is cheerful is happy and shows this in their behaviour.
";adjective; They are both very cheerful in spite of their colds.;happy,bright,contented,glad,exuberance,high spirits,pleasant,bright,sunny,gay,
promising;"Someone or something that is promising seems likely to be very good or successful.
";adjective; A school has honoured one of its brightest and most promising former pupils.;talented,able,gifted,
encouraging;"Something that is encouraging gives people hope or confidence.
";adjective; There are encouraging signs of an artistic revival.;promising,good,bright,comforting,
alert;"If you are alert, you are paying full attention to things around you and are able to deal with anything that might happen.
";adjective; We all have to stay alert.;attentive,careful,awake,wary,vigilance,wariness,warning,signal,alarm,siren,warn,signal,inform,alarm,
splendour;"The splendour of something is its beautiful and impressive appearance.
";uncountable noun; The foreign ministers are meeting in the splendour of the Royal Palace.;
glamour;"Glamour is the quality of being more attractive, exciting, or interesting than ordinary people or things.
";uncountable noun; ...the glamour of show biz.;
grandeur;"If something such as a building or a piece of scenery has grandeur, it is impressive because of its size, its beauty, or its power.
";uncountable noun; ...the grandeur and natural beauty of South America.;splendour,glory,majesty,nobility,importance,status,prestige,standing,
magnificence;the quality of being magnificent;noun;"`Nothing,"" Thopas replied, `I was just overcome by the magnificence of it all.";
shining;"A shining achievement or quality is a very good one which should be greatly admired.
";adjective; She is a shining example to us all.;outstanding,glorious,splendid,leading,
sparkling;" Sparkling drinks are slightly fizzy.
";adjective; ...a glass of sparkling wine.;fizzy,bubbly,effervescent,frothy,
brightness;the condition of being bright;noun;The brightness of the light made no difference.;
blaze;"When a fire blazes, it burns strongly and brightly.
";verb; Three people died as wreckage blazed, and rescuers fought to release trapped drivers.;burn,glow,flare,flicker,inferno,fire,shine,flash,beam,glow,rage,boil,explode,
fetch;"If you fetch something or someone, you go and get them from the place where they are.
";verb; Sylvia fetched a towel from the bathroom.;bring,collect,make,raise,earn,
ample;"If there is an ample amount of something, there is enough of it and usually some extra.
";adjective; There'll be ample opportunity to relax, swim and soak up some sun.;great,rich,liberal,fully,well,greatly,large,great,big,full,
generous;"A generous person gives more of something, especially money, than is usual or expected.
";adjective; German banks are more generous in their lending.;magnanimous,kind,noble,benevolent,plentiful,lavish,ample,abundant,
hugely;"very much; enormously";adverb;His progress has been hugely impressive given he has only been a manager for four seasons.;
vastly;"Vastly means to an extremely great degree or extent.
";adverb; The jury has heard two vastly different accounts of what happened.;hugely,immensely,
universally;"If something is universally believed or accepted, it is believed or accepted by everyone with no disagreement.
";adverb; ...a universally accepted point of view.;everywhere,always,everywhere,worldwide,
vague;"If something written or spoken is vague, it does not explain or express things clearly.
";adjective; A lot of the talk was apparently vague and general.;roughly,indefinitely,slightly,rather,abstraction,confusion,ambiguity,obscurity,roughly,indefinitely,slightly,rather,imprecise,unspecified,generalized,rough,absent-minded,absorbed,abstracted,distracted,roughly,indefinitely,slightly,rather,abstraction,confusion,indistinct,unclear,dim,
straightforward;"If you describe something as straightforward, you approve of it because it is easy to do or understand.
";adjective; Disposable nappies are fairly straightforward to put on.;simple,easy,uncomplicated,routine,honest,open,direct,genuine,
bold;"Someone who is bold is not afraid to do things which involve risk or danger.
";adjective; Amrita becomes a bold, daring rebel.;fearless,enterprising,brave,daring,bright,conspicuous,strong,striking,
ruined;"A ruined building or place has been very badly damaged or has gradually fallen down because no-one has taken care of it.
";adjective; ...a ruined church.;dilapidated,derelict,
unsuccessful;"Something that is unsuccessful does not achieve what it was intended to achieve.
";adjective; His efforts were unsuccessful.;useless,ineffective,vain,
imperfect;"Something that is imperfect has faults and is not exactly as you would like it to be.
";adjective; We live in an imperfect world.;flawed,impaired,faulty,broken,
halting;"If you speak or do something in a halting way, you speak or do it slowly and with a lot of hesitation, usually because you are uncertain about what to say or do next.
";adjective; In a halting voice she said that she wished to make a statement.;faltering,awkward,hesitant,
sear;"To sear something means to burn its surface with a sudden intense heat.
";verb; Grass fires have seared the land near the farming village of Basekhai.;wither,burn,blight,brand,
polish;"Polish means belonging or relating to Poland, or to its people, language, or culture.
";adjective; The press conference was broadcast live on Polish television.;varnish,wax,glaze,lacquer,shine,wax,clean,smooth,accomplished,professional,masterly,fine,shining,bright,smooth,perfect,improve,enhance,refine,
scrub;"If you scrub something, you rub it hard in order to clean it, using a stiff brush and water.
";verb; Surgeons began to scrub their hands and arms with soap and water before operating.;scour,clean,polish,rub,undergrowth,brush,
confrontation;"A confrontation is a dispute, fight, or battle between two groups of people.
";variable noun; Confrontation with parents is a common reaction for adolescents.;conflict,fight,crisis,contest,
rendezvous;"A rendezvous is a meeting, often a secret one, that you have arranged with someone for a particular time and place.
";countable noun; I had almost decided to keep my rendezvous with Tony.;appointment,meeting,date,engagement,meet,assemble,
proceeds;"the profit or return derived from a commercial transaction, investment, etc
";plural noun;He had sold his parents ' house, and on the proceeds and the little income, he had managed to go to Oxford.;
thwart;"If you thwart someone or thwart their plans, you prevent them from doing or getting what they want.
";verb; The accounting firm deliberately destroyed documents to thwart government investigators.;frustrate,stop,foil,check,
inexpensive;"Something that is inexpensive does not cost very much.
";adjective; ...a variety of good inexpensive restaurants.;cheap,reasonable,budget,
bargain;"Something that is a bargain is good value for money, usually because it has been sold at a lower price than normal.
";countable noun; At this price the wine is a bargain.;agreement,understanding,promise,negotiate,deal,contract,mediate,
architecture;"Architecture is the art of planning, designing, and constructing buildings.
";uncountable noun; He studied classical architecture and design in Rome.;design,planning,building,construction,construction,design,style,structure,design,shape,make-up,
erection;"If a man has an erection, his penis is stiff, swollen, and sticking up because he is sexually aroused.
";countable noun; ...the erection of temporary fencing to protect hedges under repair.;building,manufacture,construction,
projectile;"A projectile is an object that is fired from a gun or other weapon.
";countable noun; projectile force;missile,shell,bullet,rocket,
